variant,deployable,pr_auc,recall_at_k,precision_at_k,brier,n_selected,gender_dp_difference,gender_di_ratio,gender_eo_difference,age_band_dp_difference,age_band_eo_difference,note,delta_pr_auc,delta_recall_at_k,delta_brier,delta_gender_dp_difference,delta_gender_eo_difference,delta_age_band_dp_difference
baseline (deployed),True,0.8077554361094091,0.17150395778364116,0.975,0.12855377013128017,200,0.025497728798443725,0.6508772518366936,0.020056827678422207,0.11072936357176363,0.14019358125318393,"tuned pipeline, capacity threshold on OOF scores",0.0,0.0,0.0,0.0,0.0,0.0
reweighting (gender x label),True,0.8063987251391669,0.1723834652594547,0.98,0.13401417597570844,200,0.01930433820847733,0.7203115650260145,0.035860865043549295,0.11823810218673782,0.1673289183222958,refit with Kamiran-Calders reweighing on gender; changes the model; no sensitive input at inference,-0.0013567109702422586,0.0008795074758135291,0.005460405844428279,-0.006193390589966395,0.015804037365127088,0.007508738614974184
group thresholds (equal selection by gender),False,0.8077554361094091,0.17150395778364116,0.975,0.12855377013128017,200,0.0005145116794151236,0.990924805531547,0.09216855163704571,0.10888349210981635,0.14863304465953472,"per-group thresholds {""female"": 0.9203, ""male"": 0.9446}; uses gender at decision time -> NOT deployed",0.0,0.0,0.0,-0.0249832171190286,0.0721117239586235,-0.001845871461947285
