attribute,operating_point,reference_group,n_groups,n_reliable_groups,dp_difference,di_ratio,eo_difference,eq_odds_max_diff,max_brier_gap
gender,threshold,female,2,2,0.03988779803646563,0.5583850931677019,0.00977037147249915,0.00977037147249915,0.028336912486435828
age_band,threshold,17-19,4,4,0.2272077069041016,0.0803497577691126,0.39743589743589747,0.39743589743589747,0.050493042719482004
gender,top_k=50,female,2,2,0.03716690042075736,0.5391304347826087,0.0023805981252789654,0.0036838764866580207,0.028336912486435828
age_band,top_k=50,17-19,4,4,0.2204057801780762,0.06327543424317618,0.39926739926739924,0.39926739926739924,0.050493042719482004
