variant,pr_auc,pr_auc_std_cv_uncalibrated,roc_auc,brier,ece,recall_at_k,precision_at_k,mean_score
uncalibrated,0.8077554361094091,0.0112289986929578,0.8724992438872033,0.12855377013128017,0.05393260830754236,0.17150395778364116,0.975,0.3692370335371112
isotonic,0.8070357290249685,0.0112289986929578,0.8721149628314722,0.12514865571691822,0.016952682663566653,0.1706244503078276,0.97,0.3213242109914447
sigmoid,0.8087567879347687,0.0112289986929578,0.8724157602467014,0.12534486481100007,0.024387275645475076,0.17150395778364116,0.975,0.32162795007561923
