model,selection,param_clf__l2_regularization,param_clf__learning_rate,param_clf__max_leaf_nodes,param_clf__min_samples_leaf,mean_test_pr_auc,std_test_pr_auc,rank_test_pr_auc,mean_test_roc_auc,std_test_roc_auc,mean_fit_time
hist_gb,none,0.11044350847124683,0.06746437142284309,21,36,0.8146493925969949,0.014888687402964581,1,0.8720706760886161,0.013708783249797542,1.0028484344482422
hist_gb,none,0.00010661259689433907,0.05681142678077596,16,71,0.8117026826361379,0.015510389694427654,2,0.8710568970978996,0.014203327909542013,1.0532894134521484
hist_gb,none,0.0014618962793704966,0.08012737503998542,49,69,0.8107965086496591,0.015966028396525334,3,0.8701074054500468,0.014145203261361716,1.0546503067016602
hist_gb,none,0.0020013420622879987,0.03750796359625606,25,62,0.8106547831890509,0.014887657184448467,4,0.8703742034026929,0.01398726041581323,1.495289421081543
hist_gb,none,0.002023778954048508,0.06960091021987622,64,71,0.8104649435551028,0.013942549399075141,5,0.8686006598469648,0.013467158995333657,1.1240180015563965
hist_gb,none,0.27527173929429377,0.10113389297817889,16,48,0.8102267597594821,0.01857003831034535,6,0.8704127141585843,0.01657043494419095,0.7842541694641113
hist_gb,none,0.002920433847181412,0.04717052037625178,54,71,0.810199662021818,0.014799928182637409,7,0.8689032365747383,0.013777641773268168,1.3680925846099854
hist_gb,none,0.4569184576834543,0.18013995527645618,19,43,0.8098979067081171,0.019156836977755987,8,0.8708311093770025,0.013651851207711065,0.5491023540496827
hist_gb,none,0.0017654048052495078,0.05864129169696527,49,13,0.8073995503174125,0.016218423835071945,9,0.8668940326140941,0.01165794753439429,1.3142837524414062
hist_gb,none,0.02616191420516961,0.06272067883482679,36,45,0.80734185850025,0.018931105181909293,10,0.8689788721119147,0.01460162771777266,1.207685661315918
hist_gb,none,0.1447778630692865,0.07853737079666878,49,50,0.8072182606851657,0.015412068196160911,11,0.8678948816189426,0.014457586902411885,0.9552815914154053
hist_gb,none,0.00024079111954644587,0.03529746546288799,31,46,0.8072139581703095,0.016611090911018107,12,0.8692826414326096,0.014806630754192805,1.5608609676361085
hist_gb,none,0.33256102959751926,0.08360776902859286,64,15,0.8066089002168993,0.018486183518490722,13,0.8678587730036839,0.010757540322172124,1.3225793361663818
hist_gb,none,0.0006290644294586153,0.05748924681991978,64,12,0.805649674401533,0.017057631997218242,14,0.8657587922588357,0.010407180150888281,1.516555404663086
hist_gb,none,0.017910276390244798,0.10650293943002245,44,32,0.8049814814611498,0.018086739583799142,15,0.8645533205426261,0.014194321748513365,0.9002503871917724
hist_gb,none,0.08287522363768157,0.0874479618932312,34,44,0.8046091096621073,0.017301293114272198,16,0.8679348448463624,0.0132340306664714,0.9746128559112549
hist_gb,none,0.00030771802712506853,0.05388108577817234,54,44,0.8044092454541001,0.018553066437992375,17,0.8667443462519395,0.015419456683476112,1.3767532348632812
hist_gb,none,0.5727904470799616,0.20978213384576816,21,57,0.803968948814866,0.015214568702963324,18,0.8639929053726003,0.012947041367320321,0.5986202239990235
hist_gb,none,0.0006410277188110162,0.2104512193446279,56,61,0.8037647303984097,0.018120707212289373,19,0.8633468342504251,0.014815549090340144,0.599818229675293
hist_gb,none,0.0051101206564971614,0.16155001304356414,48,12,0.8037592843164557,0.016369745409175122,20,0.863163954710297,0.008569851324449984,0.9160110950469971
hist_gb,none,0.43379206974909373,0.024112898115291985,47,13,0.803663290376299,0.014222825427945602,21,0.8670516017151915,0.009605389900706994,2.3208999156951906
hist_gb,none,0.012329098365270512,0.042808491617570936,49,86,0.8035079188344865,0.013294665010642328,22,0.864699871691235,0.014457396079002224,1.1566239833831786
hist_gb,none,0.003148911647956862,0.2536999076681772,50,81,0.8029272442242512,0.01702190233635619,23,0.8635978876299564,0.016036209414074923,0.39541263580322267
hist_gb,none,0.00011299516083106625,0.2464598838968806,21,18,0.8023026872528185,0.01567710628127265,24,0.863671214487062,0.013680640380909385,0.5557711124420166
hist_gb,none,0.0001707396743152812,0.19030368381735815,43,33,0.8017544422022574,0.017615034191689097,25,0.8623720558383207,0.014295673686788407,0.6129656314849854
hist_gb,none,0.5907643534563962,0.07666495926746603,58,95,0.8013074334650199,0.015204229496908096,26,0.8627467283179664,0.014546896091577055,0.9523496627807617
hist_gb,none,0.00011584172310543988,0.021930986997479973,35,69,0.8010914798719808,0.014311816625233486,27,0.8615221587962429,0.015003826034746115,1.3812655448913573
hist_gb,none,0.022233337605920365,0.26656254771744614,52,50,0.8009803442618282,0.01741310064737804,28,0.861885459816859,0.015607735218105928,0.6078134059906006
hist_gb,none,0.0016480446427978971,0.05958389350068958,51,98,0.8004813981526047,0.01539675003280191,29,0.8633195484360566,0.01594252247110198,1.011747407913208
hist_gb,none,0.004938623547724717,0.03830785929574813,15,97,0.8004110581156777,0.01617974944390053,30,0.8640121979322506,0.015019289254178995,1.0968340396881104
hist_gb,none,0.0005488047000766049,0.27051668818999286,33,53,0.8003429372045632,0.022094893051768344,31,0.863137920236445,0.016980737344440264,0.5723753929138183
hist_gb,none,0.0067009793859898305,0.02102146663035812,27,39,0.7994441587794568,0.015403377748802625,32,0.8646084314525293,0.01362035100964824,1.594157838821411
hist_gb,none,0.34128801361227257,0.030136785318307355,62,98,0.7993591193534934,0.015783311486969848,33,0.8612640292437561,0.015009294835670147,1.336823320388794
hist_gb,none,0.0015314189711654778,0.01754362390093243,32,80,0.7986198228096636,0.0115800262993587,34,0.8600478559166321,0.012449678936912423,1.3044492244720458
hist_gb,none,0.00011384639705304651,0.019665923318213548,15,44,0.7983264359607839,0.013594477574798433,35,0.8642090034224641,0.012601767578832012,1.1899014472961427
hist_gb,none,0.0007068974950624604,0.01855998084649059,28,42,0.7963852026541274,0.01457527175172458,36,0.8616935791911157,0.012795089418240816,1.5229722499847411
hist_gb,none,0.024810409748678097,0.01700037298921102,26,96,0.795351154072826,0.013311778520009735,37,0.8583396951120983,0.013402652872682285,1.1149927616119384
hist_gb,none,0.001870742013766027,0.014539853705640319,64,36,0.7906620619093039,0.016333514560513355,38,0.8603336210157885,0.01268667080837667,2.1315038204193115
hist_gb,none,0.04013783023846253,0.012115092723815248,31,39,0.7899936147846421,0.01591645121405921,39,0.8580232490394717,0.012809775134037528,1.5311900138854981
hist_gb,none,0.007742116473996248,0.015019490572374374,21,12,0.7899814542934364,0.012828810341519437,40,0.8637427973188683,0.010348026525817126,1.4898314952850342
hist_gb,decided,0.11044350847124683,0.06746437142284309,21,36,0.8056887310895172,0.015302615104123863,1,0.8645152315141302,0.013835266280931293,0.38272576332092284
hist_gb,decided,0.0020013420622879987,0.03750796359625606,25,62,0.8051618630410916,0.015555644445400207,2,0.8673603168469703,0.014513704637422716,0.4679354190826416
hist_gb,decided,0.00011299516083106625,0.2464598838968806,21,18,0.805005988547783,0.015280427304648774,3,0.8597994090473948,0.013462817853882602,0.26194748878479
hist_gb,decided,0.27527173929429377,0.10113389297817889,16,48,0.8047822124533989,0.016468734628916872,4,0.86495212735453,0.01325398577731681,0.3666544914245605
hist_gb,decided,0.00010661259689433907,0.05681142678077596,16,71,0.8047626752603219,0.01622551594893027,5,0.8659469925067393,0.014515339049310676,0.34261107444763184
hist_gb,decided,0.0017654048052495078,0.05864129169696527,49,13,0.8040080318452685,0.014849099496006091,6,0.8625490862937969,0.013427774609199328,0.5216217041015625
hist_gb,decided,0.002920433847181412,0.04717052037625178,54,71,0.8032920456927191,0.01590963107074185,7,0.8660257328041135,0.013002448558976079,0.44375882148742674
hist_gb,decided,0.0051101206564971614,0.16155001304356414,48,12,0.8024457005722176,0.013495271315995271,8,0.8606518788742952,0.013685314469693415,0.3636727809906006
hist_gb,decided,0.0014618962793704966,0.08012737503998542,49,69,0.8022065167014653,0.016964496302290192,9,0.864565379022145,0.014718546983462002,0.3617845058441162
hist_gb,decided,0.33256102959751926,0.08360776902859286,64,15,0.8016225328942689,0.014545376602709804,10,0.862718691982147,0.011652090198706555,0.44160261154174807
hist_gb,decided,0.5727904470799616,0.20978213384576816,21,57,0.8012746680912846,0.014138575848071254,11,0.8616108847872557,0.00978885223068632,0.2999844551086426
hist_gb,decided,0.002023778954048508,0.06960091021987622,64,71,0.8011241556377936,0.016474138673045112,12,0.86410320158929,0.01363713334952305,0.40621657371520997
hist_gb,decided,0.1447778630692865,0.07853737079666878,49,50,0.8010062729982304,0.016290616121123962,13,0.8632143509750454,0.013004693419758384,0.43358430862426756
hist_gb,decided,0.0006290644294586153,0.05748924681991978,64,12,0.8001508170797406,0.012985634142110665,14,0.8598888997530096,0.012923515350399671,0.5285262584686279
hist_gb,decided,0.00024079111954644587,0.03529746546288799,31,46,0.8001216334707829,0.015159442750892,15,0.8646328187592969,0.014638006474669783,0.48154621124267577
hist_gb,decided,0.4569184576834543,0.18013995527645618,19,43,0.7999275494025244,0.015830718895504275,16,0.8623295208386793,0.014223979166642198,0.3039903163909912
hist_gb,decided,0.02616191420516961,0.06272067883482679,36,45,0.7996704852619354,0.01690901278801988,17,0.8634735707808033,0.013891025619162198,0.4647086143493652
hist_gb,decided,0.0006410277188110162,0.2104512193446279,56,61,0.7994593267745909,0.01670683137342919,18,0.8593963490602287,0.013782338542457084,0.3047642230987549
hist_gb,decided,0.00030771802712506853,0.05388108577817234,54,44,0.7991308728651745,0.018218453121816084,19,0.8620926561331659,0.01434334048303347,0.48315091133117677
hist_gb,decided,0.0001707396743152812,0.19030368381735815,43,33,0.7989537306015865,0.017670984381775067,20,0.8590636182880923,0.013240651881738112,0.3217268466949463
hist_gb,decided,0.08287522363768157,0.0874479618932312,34,44,0.7989029021890804,0.016459802189097296,21,0.8618154493870354,0.01218527961808574,0.38918418884277345
hist_gb,decided,0.017910276390244798,0.10650293943002245,44,32,0.7988166665332219,0.01452581457435021,22,0.8610486881759055,0.012816036737005517,0.3573166847229004
hist_gb,decided,0.43379206974909373,0.024112898115291985,47,13,0.7981989867223473,0.012920833577283653,23,0.862032816610909,0.010380927977321664,0.5863269805908203
hist_gb,decided,0.022233337605920365,0.26656254771744614,52,50,0.7980905796637099,0.015162685092704489,24,0.8614164799648005,0.009287170580585924,0.29293208122253417
hist_gb,decided,0.0005488047000766049,0.27051668818999286,33,53,0.7977992653826516,0.01600023960666356,25,0.8604457526345568,0.013644786168046432,0.2977322578430176
hist_gb,decided,0.012329098365270512,0.042808491617570936,49,86,0.795390624587591,0.014861999338597035,26,0.8604326335852029,0.014928533925088798,0.42335071563720705
hist_gb,decided,0.00011584172310543988,0.021930986997479973,35,69,0.7945077307629937,0.012486904176368418,27,0.8603841769367506,0.013433574400230873,0.4548677921295166
hist_gb,decided,0.003148911647956862,0.2536999076681772,50,81,0.7931761059773507,0.0155947211490118,28,0.8558164023349581,0.01502274497689685,0.2749194622039795
hist_gb,decided,0.0067009793859898305,0.02102146663035812,27,39,0.7904701608433973,0.014552361772070432,29,0.8607753906303349,0.012984437933238896,0.4814470291137695
hist_gb,decided,0.0015314189711654778,0.01754362390093243,32,80,0.7904105081521917,0.012270882016846469,30,0.8576340390740533,0.012546639081978067,0.4352907180786133
hist_gb,decided,0.004938623547724717,0.03830785929574813,15,97,0.7903511015200866,0.01805518753953788,31,0.8609773822695512,0.015551829724245514,0.40406622886657717
hist_gb,decided,0.34128801361227257,0.030136785318307355,62,98,0.7895692336937601,0.01480765495142225,32,0.8595298871813188,0.014564718043486457,0.42778682708740234
hist_gb,decided,0.007742116473996248,0.015019490572374374,21,12,0.7889595698045241,0.011458100468798268,33,0.859646406458805,0.011164049819729053,0.4238168716430664
hist_gb,decided,0.0007068974950624604,0.01855998084649059,28,42,0.7886938232666919,0.0111222956078913,34,0.8576972804586631,0.011870624230656225,0.4892743587493896
hist_gb,decided,0.5907643534563962,0.07666495926746603,58,95,0.7886120385736556,0.020609526721609074,35,0.8596270916303015,0.015421611267424013,0.37883625030517576
hist_gb,decided,0.0016480446427978971,0.05958389350068958,51,98,0.7884821669828738,0.017232123509647132,36,0.8588340005922026,0.015320486167584801,0.37990331649780273
hist_gb,decided,0.001870742013766027,0.014539853705640319,64,36,0.788336165281444,0.01350742519903142,37,0.856760107394889,0.012933935727913076,0.62056884765625
hist_gb,decided,0.00011384639705304651,0.019665923318213548,15,44,0.7876238837940093,0.015238596346520831,38,0.8599890310707897,0.011957863941362293,0.42555251121521
hist_gb,decided,0.024810409748678097,0.01700037298921102,26,96,0.7875326273525394,0.015392637633776162,39,0.8563217739874431,0.013009569154425716,0.43381528854370116
hist_gb,decided,0.04013783023846253,0.012115092723815248,31,39,0.7845415048419389,0.011321137562551568,40,0.8559316816448597,0.013041168191514295,0.5199391365051269
