rule,threshold,n_selected,selection_rate,precision,recall,f1,false_positives,false_negatives,true_positives
capacity (chosen),0.9728410513141427,202,0.05707827069793727,0.9702970297029703,0.1723834652594547,0.292755787901419,6,941,196
f1_optimal,0.38476668186654506,1154,0.326080813789206,0.7105719237435009,0.7211961301671064,0.7158446093408992,334,317,820
precision>=0.8,0.535472434542202,861,0.2432890647075445,0.8002322880371661,0.6059806508355321,0.6896896896896897,172,448,689
0.5 (default),0.5,922,0.26052557219553546,0.7874186550976139,0.6385224274406333,0.7051966974259349,196,411,726
