model,selection,param_clf__max_depth,param_clf__max_features,param_clf__min_samples_leaf,mean_test_pr_auc,std_test_pr_auc,rank_test_pr_auc,mean_test_roc_auc,std_test_roc_auc,mean_fit_time
random_forest,none,18,sqrt,2,0.8094307003557532,0.011228998692957898,1,0.8730747314066638,0.012253282569067409,1.9404510974884033
random_forest,none,22,sqrt,9,0.8069480136959541,0.01169618193734242,2,0.8696489080351821,0.0125306168045797,1.6438683986663818
random_forest,none,18,0.5,9,0.8052538668258773,0.00971871351429245,3,0.871139340786773,0.008818006746655324,4.7576395034790036
random_forest,none,8,0.5,8,0.8051409249610076,0.010292957944277816,4,0.8706802508915308,0.008883346524881128,3.981599807739258
random_forest,none,18,0.5,15,0.8049703147026115,0.010003153265021065,5,0.8687687460396422,0.010370447987844053,4.384667015075683
random_forest,none,8,0.5,15,0.8047493431496016,0.010317033427845497,6,0.8680874568220238,0.010633117994796082,3.3154613971710205
random_forest,none,12,0.5,10,0.8045056384829037,0.010360614442896252,7,0.8698968582361811,0.009314487764512727,4.7211939811706545
random_forest,none,17,0.5,16,0.8044563422685378,0.010420959391918486,8,0.8681036431067586,0.010670038233862285,4.41478419303894
random_forest,none,13,0.5,4,0.803933456666819,0.010930434716774984,9,0.8726187697790264,0.008791742112322191,5.429923486709595
random_forest,none,19,0.5,24,0.8035596244809688,0.010839172269666566,10,0.8663681892490148,0.01160856295601334,4.052309894561768
random_forest,none,8,0.5,23,0.8032089008497525,0.011059842116938973,11,0.8655182490416811,0.011913550019149878,3.797040843963623
random_forest,none,14,0.5,25,0.8031740501450478,0.01114222177824458,12,0.8657896519019868,0.011706483779134061,3.6433759212493895
random_forest,none,24,0.5,23,0.8030370026837638,0.010779573995425928,13,0.8656097513335805,0.011338910062005967,3.8255467891693113
random_forest,none,21,sqrt,15,0.8029587918526315,0.012775735733571285,14,0.8674201194720554,0.012908631297466219,1.499791193008423
random_forest,none,20,log2,5,0.8028962816601677,0.008396290345463533,15,0.8659760768678575,0.01197367853948859,1.2916253089904786
random_forest,none,10,sqrt,16,0.8020986814654698,0.0124322772634082,16,0.8658748608200846,0.012607969954817754,1.2940097332000733
random_forest,none,11,sqrt,17,0.8015913364896725,0.011355711125038396,17,0.8659596536679629,0.01185375024953829,1.4087486743927002
random_forest,none,6,0.5,34,0.8012472454976904,0.011602153151545322,18,0.863583891107439,0.012227691658975921,3.441778230667114
random_forest,none,4,0.5,12,0.7998970547558379,0.012128794106329131,19,0.8641830668529022,0.010878741500068923,2.8195693492889404
random_forest,none,14,sqrt,22,0.7993576020187486,0.01262364749237227,20,0.8647581499752264,0.01237877568904696,1.270698356628418
random_forest,none,10,sqrt,25,0.7967437211374314,0.011846882738055732,21,0.8633369088358365,0.012723437787296446,1.405796194076538
random_forest,none,21,log2,10,0.7966346017274066,0.008309042472615881,22,0.8620817970753485,0.011646339971020587,1.2208588600158692
random_forest,none,16,sqrt,30,0.7945208184001629,0.011474255915692516,23,0.8616645818132603,0.01267225966511874,1.4157052516937256
random_forest,none,15,sqrt,28,0.7944985493281314,0.010757625777894289,24,0.8620456357881003,0.012093491240613768,2.3784460544586183
random_forest,none,6,sqrt,36,0.7909572899172239,0.010599526710508187,25,0.8583627238681725,0.01182645603531035,1.259018611907959
random_forest,none,5,log2,7,0.7898910710415121,0.008188398498253048,26,0.8560403581853269,0.011126157745404779,1.0125036239624023
random_forest,none,10,log2,20,0.7896468520493969,0.009454018263031848,27,0.8569548507859283,0.011664016327907168,1.0083771705627442
random_forest,none,24,sqrt,40,0.7893464218977162,0.011956627599396428,28,0.8586709236613597,0.012004516721231649,1.2787517070770265
random_forest,none,5,sqrt,34,0.7892984444224931,0.010764179697266717,29,0.8569926774419733,0.012263552174667229,1.1648972988128663
random_forest,none,24,log2,21,0.788978480856457,0.008986864771828222,30,0.8569211855183048,0.01159914954260374,1.0429526805877685
random_forest,none,15,log2,23,0.7884045525140932,0.009660028786927243,31,0.8567662852317529,0.011487683684147397,1.1989047050476074
random_forest,none,11,log2,24,0.7880556716119871,0.009099003759483488,32,0.8564518009187468,0.012093568814997657,1.0642172336578368
