pipeline,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,fit_time_s,n_components_at_threshold,n_transformed_features
no_pca,0.8179836987309212,0.01645087299344271,0.877789966748928,0.012361604061630989,0.026268577575683592,42,207
pca_0.95_variance,0.8006671453183994,0.010405348318532431,0.8670233581476481,0.009611902957329194,0.02075161933898926,42,207
pca_2_components,0.7298269792779619,0.024807724813080367,0.828894768468731,0.010376693411172451,0.018465042114257812,42,207
